,Unnamed: 0,label,url_type,scheme,netloc,path,params,query,fragment,port,ip_1,ip_2,ip_3,ip_4,ip,contains [,contains ],contains {,contains },contains (,contains ),contains ;,contains :,contains ',contains @,contains #,contains ~,contains <,contains >,"contains ,",contains .,contains ?,contains /,contains \,contains |,contains `,contains ¬,contains !,"contains """,contains ^,contains &,contains *,contains -,contains _,contains +,contains =,contains %,contains $,contains £,url length,https,top_level_domain,netloc_length,path_length,params_length,query_length,fragment_length,asn_reg,asn,asn_country_code,asn_date,nets_country_code,status_code,is_redirect,server,expires,content_length,content_type,x_powered_by,tld_ca,tld_com,tld_cx,tld_edu,tld_fr,tld_gov,tld_jp,tld_net,tld_org,tld_ro,tld_ru,tld_tw,tld_uk,servers_ATS,servers_Apache,servers_Apache/2.4.29 (Ubuntu),servers_Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.1.33,servers_Apache/2.4.6 (CentOS) PHP/5.4.16,servers_CloudFront,servers_ECD (nya/79C5),servers_GSE,servers_Microsoft-IIS/10.0,servers_Microsoft-IIS/7.5,servers_Microsoft-IIS/8.5,servers_NR_WEB,servers_NginX,servers_Server,servers_UploadServer,servers_Varnish,servers_cloudflare,servers_mw1391.eqiad.wmnet,servers_nginx,servers_nginx/1.16.1,servers_openresty,asn_country_code_BG,asn_country_code_BR,asn_country_code_CA,asn_country_code_CN,asn_country_code_CY,asn_country_code_FR,asn_country_code_GB,asn_country_code_IN,asn_country_code_JP,asn_country_code_NL,asn_country_code_RU,asn_country_code_US,nets_country_code_BG,nets_country_code_CA,nets_country_code_CN,nets_country_code_EU,nets_country_code_FR,nets_country_code_IE,nets_country_code_IN,nets_country_code_JP,nets_country_code_NL,nets_country_code_RU,nets_country_code_US,status_code_403.0,status_code_404.0,status_code_406.0,status_code_503.0,status_code_999.0,asn_reg_arin,asn_reg_lacnic,asn_reg_ripencc,x_powered_by_ASP.NET,x_powered_by_Express,x_powered_by_PHP/5.4.16,x_powered_by_PHP/5.6.40,x_powered_by_PHP/7.1.33,x_powered_by_W3 Total Cache/0.11.0,x_powered_by_science!
179,68538,0,1,http,www.development.ohio.gov,/research/files/s0.htm,,,,80,66,144,126,8,66.144.126.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,gov,24,22,0,0,0,arin,19902,US,2001/6/13,US,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
240,977286,1,0,http,167.71.68.6,/sh,,,,80,167,71,68,6,167.71.68.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,11,3,0,0,0,arin,14061,US,2019/4/24,US,404,FALSE,nginx,0,146,text/html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
148,47396,0,1,https,www.answers.yahoo.com,/question/index,,qid=20111110162954AAaTxV8,,443,87,248,100,201,87.248.100.201,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70,1,com,21,15,0,25,0,ripencc,34010,GB,2005/8/17,IE,200,FALSE,ATS,0,0,text/html; charset=utf-8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
352,227572,1,0,http,119.180.115.146:56436,/Mozi.m,,,,56436,119,180,115,146,119.180.115.146,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,21,7,0,0,0,apnic,4837,CN,2008/2/25,CN,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,925170,1,1,http,onedrive.linkpc.net,/Ali/Yasine/final.txt,,,,80,67,214,175,69,67.214.175.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,net,19,21,0,0,0,arin,12260,US,2007/9/28,US,200,FALSE,Apache/2.4.6 (CentOS) PHP/5.4.16,0,2112,text/html; charset=UTF-8,PHP/5.4.16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
272,67775,1,1,http,chigusa-yukiko.com,/blog/INC/Jf1AyOrQDFt2/,,,,80,183,181,89,149,183.181.89.149,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48,0,com,18,23,0,0,0,apnic,2519,JP,2009/12/1,JP,404,FALSE,nginx,"Wed, 11 Jan 1984 05:00:00 GMT",0,text/html; charset=UTF-8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
366,761854,1,0,http,159.89.87.113,/razor/r4z0r.arm7,,,,80,159,89,87,113,159.89.87.113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,13,17,0,0,0,arin,14061,US,2017/7/7,US,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,256160,0,1,https,www.hmrc.gov.uk,/casc/b.htm,,,,443,2,19,148,208,2.19.148.208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,uk,15,11,0,0,0,ripencc,16625,NL,2010/9/10,EU,200,FALSE,nginx,0,14798,text/html; charset=utf-8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,187673,0,1,http,www.artfact.com,/auction-lot/mortimer-borne-figure-with-horse-watercolor-on-1-c-3c585cfed9,,,,80,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,96,0,com,15,74,0,0,0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,285391,1,0,http,120.59.120.168:57220,/i,,,,57220,120,59,120,168,120.59.120.168,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,20,2,0,0,0,apnic,17813,IN,2008/3/19,IN,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
